"Date","Price","Open","High","Low","Vol.","Change %"
"05/14/2024","77.65","77.75","79.14","77.59","","0.13%"
"05/13/2024","77.55","76.39","77.94","74.66","","5.86%"
"05/10/2024","73.26","73.96","74.79","72.88","","-0.69%"
"05/09/2024","73.77","74.60","75.28","73.65","","-0.98%"
"05/08/2024","74.50","74.25","75.50","74.02","","-0.05%"
"05/07/2024","74.54","73.39","75.32","73.17","","1.47%"
"05/06/2024","73.46","75.27","75.27","73.30","","-1.49%"
"05/03/2024","74.57","75.43","76.79","74.36","","-5.12%"
"05/02/2024","78.59","80.30","83.81","78.37","","-4.08%"
"05/01/2024","81.93","83.57","123.55","76.73","","0.13%"
"04/30/2024","81.82","79.44","81.96","77.22","","4.60%"
"04/29/2024","78.22","80.06","80.65","77.39","","-1.68%"
"04/26/2024","79.56","82.58","83.09","79.56","","-3.61%"
"04/25/2024","82.54","90.38","91.02","82.37","","-1.28%"
"04/24/2024","83.61","82.70","85.02","81.73","","1.52%"
"04/23/2024","82.36","87.38","87.59","82.02","","-8.02%"
"04/22/2024","89.54","95.60","96.22","89.26","","-9.64%"
"04/19/2024","99.09","99.41","102.87","96.75","","3.23%"
"04/18/2024","95.99","96.80","98.89","92.96","","-2.80%"
"04/17/2024","98.76","99.34","102.82","94.79","","-0.49%"
"04/16/2024","99.25","107.13","107.53","97.82","","-9.48%"
"04/15/2024","109.64","98.45","111.58","93.95","","6.74%"
"04/12/2024","102.72","94.59","112.86","94.42","","14.90%"
"04/11/2024","89.40","92.57","96.33","88.73","","-2.57%"
"04/10/2024","91.76","93.64","95.61","90.67","","8.66%"
"04/09/2024","84.45","85.85","90.01","84.26","","-2.10%"
"04/08/2024","86.26","90.48","90.88","85.76","","-4.77%"
"04/05/2024","90.58","90.75","91.66","88.43","","0.60%"
"04/04/2024","90.04","79.61","91.07","77.81","","11.05%"
"04/03/2024","81.08","84.29","85.34","80.53","","-2.03%"
"04/02/2024","82.76","82.14","86.64","82.14","","5.49%"
"04/01/2024","78.45","79.81","82.96","78.28","","2.46%"
"03/28/2024","76.57","76.50","78.10","75.79","","0.75%"
"03/27/2024","76.00","76.19","78.08","75.20","","-1.00%"
"03/26/2024","76.77","76.42","79.28","75.02","","0.22%"
"03/25/2024","76.60","78.85","78.87","76.19","","0.14%"
"03/22/2024","76.49","77.20","77.79","74.88","","-1.05%"
"03/21/2024","77.30","79.63","81.10","77.14","","-1.99%"
"03/20/2024","78.87","83.95","84.26","78.64","","-6.00%"
"03/19/2024","83.90","86.86","87.14","83.65","","-3.32%"
"03/18/2024","86.78","92.00","92.06","86.63","","-5.85%"
"03/15/2024","92.17","90.23","96.23","89.82","","3.85%"
"03/14/2024","88.75","85.45","92.61","85.34","","2.87%"
"03/13/2024","86.27","86.44","87.32","85.85","","3.00%"
"03/12/2024","83.76","87.39","88.46","83.66","","-5.86%"
"03/11/2024","88.97","90.61","92.14","88.13","","2.78%"
"03/08/2024","86.56","80.78","91.32","80.42","","5.39%"
"03/07/2024","82.13","81.93","83.07","81.93","","-1.18%"
"03/06/2024","83.11","81.47","83.81","81.43","","-0.95%"
"03/05/2024","83.91","80.36","86.14","80.36","","5.67%"
"03/04/2024","79.41","79.87","80.41","78.97","","2.23%"
"03/01/2024","77.68","76.69","80.97","76.34","","0.30%"
"02/29/2024","77.45","78.95","80.68","77.03","","-3.62%"
"02/28/2024","80.36","80.35","81.56","79.60","","2.32%"
"02/27/2024","78.54","79.45","79.62","77.99","","-2.43%"
"02/26/2024","80.50","79.99","81.04","79.59","","2.08%"
"02/23/2024","78.86","79.89","80.32","78.17","","-2.50%"
"02/22/2024","80.88","80.88","81.01","77.99","","-4.46%"
"02/21/2024","84.66","86.83","87.71","84.35","","-1.67%"
"02/20/2024","86.10","88.79","90.61","85.56","","4.20%"
"02/16/2024","82.63","82.88","85.01","80.03","","0.28%"
"02/15/2024","82.40","82.53","85.33","81.94","","-0.93%"
"02/14/2024","83.17","88.59","89.04","81.44","","-10.75%"
"02/13/2024","93.19","88.01","101.46","85.10","","10.11%"
"02/12/2024","84.63","82.95","85.37","82.80","","3.28%"
"02/09/2024","81.94","82.46","84.85","81.53","","-1.36%"
"02/08/2024","83.07","85.25","86.77","82.80","","3.14%"
"02/07/2024","80.54","79.83","82.26","79.60","","4.64%"
"02/06/2024","76.97","78.60","80.30","76.68","","-3.28%"
"02/05/2024","79.58","84.69","86.82","78.81","","-4.48%"
"02/02/2024","83.31","85.99","86.51","82.56","","-1.79%"
"02/01/2024","84.83","85.95","89.66","83.01","","-3.12%"
"01/31/2024","87.56","82.12","89.40","81.99","","6.47%"
"01/30/2024","82.24","83.69","83.94","81.80","","-1.39%"
"01/29/2024","83.40","83.92","84.92","83.01","","1.46%"
"01/26/2024","82.20","81.42","82.20","79.87","","1.00%"
"01/25/2024","81.39","80.57","81.81","79.75","","0.56%"
"01/24/2024","80.94","75.61","81.16","74.65","","5.57%"
"01/23/2024","76.67","78.19","78.78","76.08","","-3.16%"
"01/22/2024","79.17","83.42","83.45","78.63","","-3.39%"
"01/19/2024","81.95","84.93","85.73","81.57","","-5.08%"
"01/18/2024","86.34","88.62","90.10","86.07","","-5.49%"
"01/17/2024","91.36","95.97","96.19","88.82","","1.98%"
"01/16/2024","89.59","90.32","93.66","88.35","","4.09%"
"01/12/2024","86.07","75.63","86.07","75.14","","13.94%"
"01/11/2024","75.54","76.14","79.81","75.46","","-2.01%"
"01/10/2024","77.09","79.72","79.98","76.46","","-1.91%"
"01/09/2024","78.59","82.37","82.56","78.32","","-3.29%"
"01/08/2024","81.26","85.62","85.62","80.23","","-1.94%"
"01/05/2024","82.87","86.46","86.48","82.55","","-5.39%"
"01/04/2024","87.59","89.92","90.41","86.68","","-2.30%"
"01/03/2024","89.65","89.26","92.31","86.23","","1.77%"
"01/02/2024","88.09","91.86","92.82","87.59","","1.30%"
"12/29/2023","86.96","86.80","89.01","86.02","","0.31%"
"12/28/2023","86.69","85.99","87.67","85.99","","0.55%"
"12/27/2023","86.22","88.50","88.50","86.07","","-2.98%"
"12/26/2023","88.87","91.92","91.99","88.87","","0.28%"
"12/22/2023","88.62","89.42","90.70","87.56","","-1.37%"
"12/21/2023","89.85","90.39","94.44","89.08","","-2.53%"
"12/20/2023","92.18","89.02","94.23","85.25","","3.84%"
"12/19/2023","88.77","89.49","89.52","88.43","","0.11%"
"12/18/2023","88.67","89.87","89.87","87.56","","0.72%"
"12/15/2023","88.04","81.71","88.34","78.22","","8.92%"
"12/14/2023","80.83","80.84","83.57","80.63","","0.00%"
"12/13/2023","80.83","84.75","111.85","80.12","","-3.24%"
"12/12/2023","83.54","82.14","83.57","80.73","","1.45%"
"12/11/2023","82.35","83.93","84.03","81.92","","1.53%"
"12/08/2023","81.11","85.31","85.31","80.98","","-5.69%"
"12/07/2023","86.00","87.23","87.80","85.68","","-0.98%"
"12/06/2023","86.85","84.32","87.13","83.82","","1.27%"
"12/05/2023","85.76","88.14","88.42","85.67","","-2.28%"
"12/04/2023","87.76","90.42","92.16","87.54","","2.17%"
"12/01/2023","85.90","86.31","86.76","83.95","","-0.93%"
"11/30/2023","86.71","87.61","90.42","86.50","","-1.23%"
"11/29/2023","87.79","84.45","88.20","84.42","","3.11%"
"11/28/2023","85.14","86.04","86.70","84.77","","-0.01%"
"11/27/2023","85.15","84.92","85.97","84.73","","2.59%"
"11/24/2023","83.00","84.27","84.77","81.64","","-0.46%"
"11/22/2023","83.38","80.23","83.97","79.90","","1.97%"
"11/21/2023","81.77","82.34","82.72","79.37","","-0.05%"
"11/20/2023","81.81","83.67","83.67","80.80","","-0.02%"
"11/17/2023","81.83","82.96","84.68","81.35","","-1.68%"
"11/16/2023","83.23","84.58","85.45","82.76","","-1.98%"
"11/15/2023","84.91","81.79","85.21","81.21","","1.36%"
"11/14/2023","83.77","82.81","85.43","82.48","","-2.03%"
"11/13/2023","85.51","88.40","88.58","81.45","","-0.18%"
"11/10/2023","85.66","87.89","87.99","84.99","","-3.47%"
"11/09/2023","88.74","83.99","90.37","83.93","","4.35%"
"11/08/2023","85.04","88.36","89.60","84.00","","1.93%"
"11/07/2023","83.43","85.48","86.14","82.94","","-1.07%"
"11/06/2023","84.33","83.89","86.42","83.58","","1.81%"
"11/03/2023","82.83","83.03","83.15","81.74","","-0.49%"
"11/02/2023","83.24","83.91","85.16","82.82","","-2.16%"
"11/01/2023","85.08","87.09","87.71","84.68","","-3.25%"
"10/31/2023","87.94","94.57","95.48","87.42","","-7.66%"
"10/30/2023","95.23","100.31","100.31","93.99","","-6.67%"
"10/27/2023","102.04","100.09","104.00","97.16","","0.07%"
"10/26/2023","101.97","104.01","106.44","99.86","","-0.92%"
"10/25/2023","102.92","98.89","107.92","98.89","","4.44%"
"10/24/2023","98.54","107.84","108.01","97.74","","-9.60%"
"10/23/2023","109.00","117.70","118.79","105.26","","-5.57%"
"10/20/2023","115.43","114.90","117.55","112.15","","-0.89%"
"10/19/2023","116.47","104.97","116.47","102.19","","9.99%"
"10/18/2023","105.89","96.54","109.40","96.44","","10.53%"
"10/17/2023","95.80","97.82","99.68","91.98","","0.11%"
"10/16/2023","95.69","102.75","102.75","95.09","","-11.48%"
"10/13/2023","108.10","92.54","114.66","92.32","","17.67%"
"10/12/2023","91.87","90.47","97.44","88.85","","1.44%"
"10/11/2023","90.57","92.15","97.85","90.39","","0.52%"
"10/10/2023","90.10","91.30","91.82","88.98","","-2.10%"
"10/09/2023","92.03","96.64","96.64","91.26","","0.95%"
"10/06/2023","91.16","99.68","101.60","90.04","","-4.63%"
"10/05/2023","95.59","96.78","101.38","94.73","","0.01%"
"10/04/2023","95.58","103.18","103.68","94.89","","-8.44%"
"10/03/2023","104.39","98.59","106.79","96.45","","9.43%"
"10/02/2023","95.39","96.18","98.49","92.34","","1.37%"
"09/29/2023","94.10","91.35","96.67","88.02","","0.41%"
"09/28/2023","93.72","97.55","98.07","93.26","","-3.47%"
